Name,IdMonstre,Type,Description
Mullighoul,817,1,"Wanders around the room, avoiding Isaac and spawning Willos if he gets close. Spawns 1-2 Willos upon death."
Mulligoon,16,1,"Walks around the room, avoiding Isaac. Upon death, spawns a Troll Bomb and fires four shots in the ordinal directions. Can self-detonate, spawn a Troll bomb, and launch eight projectiles in all directions."
Mushroom,300,0,Stationary enemy that occasionally pops up and fires four shots in the cardinal or diagonal directions. Takes less damage while its head is down.
My Shadow,23,0.1,"Charges at enemies when in its line of sight, dealing contact damage. Will always spawn friendly via My Shadow ."
Necro,828,0,Stationary enemy that summons unlimited-ranged bones to attack Isaac.
Needle,881,0,"Pops out of the ground and lunges towards Isaac, dealing contact damage."
Nerve Ending,231,0,Static enemy which acts as a meat shield.
Nerve Ending 2,231,1,Static enemy which whips at Isaac if he gets too close.
Nest,205,0,"Wanders around the room, avoiding Isaac and spawning Spiders if he gets close. Spawns a Big Spider or Trite upon death."
Night Crawler,255,0,Pops out of the ground in random locations and fires four short-range shots that spiral outwards if Isaac is in sight.
Nulls,252,0,"Walks towards Isaac, dealing contact damage. Upon getting near Isaac, it will open its eyes, though its speed doesn't change. Fades into and out of visibility."
One Tooth,234,0,Follows Isaac and periodically dashes towards him when it gets close. Deals contact damage.
Oob,224,0,"When Isaac lines up with it horizontally, it charges across the room once. When Isaac is not horizontal to it, it spawns Brains."
Pacer,11,1,Walks aimlessly around the room.
Pale Fatty,208,1,Slowly walks towards Isaac. Occasionally farts and shoots 6 blood shots in all directions. Has a chance to turn into a Blubber upon death.
Para-Bite,58,0,"Moves towards Isaac, dealing contact damage. Can burrow underground and reappear elsewhere."
Pasty,881,1,"Pops out of the ground and lunges toward Isaac, dealing contact damage and firing four shots in the ordinal directions."
Peep Eye,68,1,"Invulnerable enemy that floats diagonally over obstacles and bounces off of walls, blocking tears and dealing contact damage. Spawned by Peep as apart of his fight."
Peeping Fatty,835,0,"Has two indestructible Peeping Fatty Eyes that are out of their sockets but attached by muscles. Wanders around the room randomly, or toward Isaac if its eyes see him. Occasionally farts and fires a radial burst of 6 blood shots."
Peeping Fatty Eye,835,10,"Invulnerable enemy attached to a Peeping Fatty. Follows Isaac when in line of sight, blocking tears and dealing contact damage."
Pitfall,291,0,"Invulnerable and stationary enemy which Isaac falls into when walked over, taking damage and popping back out after a short delay."
Planetoid,229,1,"Moves around the room diagonally, occasionally firing blood shots that orbit itself. Fires more shots and has a chance to send its ring of shots outward upon taking damage."
Poison Mind,301,0,"Slowly crawls/ floats around the room diagonally, leaving a trail of damaging green creep . Explodes upon death."
Poky,44,0,"Slides around the room aimlessly, damaging Isaac by contact. Disappears when the room is cleared."
Polty,816,0,Picks up and throws rocks and props at Isaac.
Pon,840,0,"Hops around the room, leaving damaging red creep wherever it lands. Upon death, its associated Brainless Knight dies with it."
Poofer,892,0,"Slowly floats toward Isaac, swells up and fire 6 blood shots in all directions upon taking damage. Explodes upon death, healing nearby enemies and leaving a big puddle of red creep."
Poot Mine,875,0,"Creates a gas cloud and propels itself away from Isaac when it gets hit non-consecutively. Explodes on death, detonating all the gas clouds it created."
Pooter,14,0,"Slowly drifts toward Isaac, occasionally firing a single blood shot at him. Does not deal contact damage."
Portal,306,0,Spawns various enemies from the current floor until it either vanishes or is killed.
Prey,817,0,"Wanders around the room, avoiding Isaac and spawning Small Leeches if he gets close. Spawns 3 Small Leeches upon death."
Psy Tumor,253,0,"Moves around the room diagonally, occasionally firing 6 homing shots in all directions. Fires more often upon getting damaged."
Psychic Horf,248,0,Stationary enemy that fires a homing shot at Isaac when he gets in range of them.
Psychic Maw,26,2,"Slowly floats towards Isaac, firing homing shots at him when he is in their range. Spawns with an Eternal Fly orbiting around it."
Purple Ball,409,1,"Floats towards Isaac, doing contact damage."
Pustule,861,0,"Slowly increases in size over time, spawning Small Maggots and damaging red creep depending on its size upon death. If it grows to full size, it transforms into a Bloodfly ."
Quad Revenant,841,1,"Wanders around the room slowly, stopping to fire lines of flames in the cardinal or ordinal directions, rotating in an attempt to hit Isaac."
Quake Grimace,804,0,Stationary and invulnerable monster that jumps and fires a line of rocks in one direction upon landing.
Quakey,823,0,"Walks slowly toward Isaac, occasionally attempting to jump on Isaac, shooting out 8 rock shots when it hits the ground and causing rocks to fall from the ceiling."
Rag Man's Ragling,246,1,Quickly leaps towards Isaac and deals contact damage. Randomly shoots two purple shots that orbit around it.
Rage Creep,241,0,Slowly crawls along walls to try to line up with Isaac and shoots a Brimstone laser.
Ragling,246,0,Quickly leaps towards Isaac and deals contact damage. Randomly shoots two purple shots that orbit around it.
Red Boom Fly,25,1,"Flies across the room in straight diagonal lines, dealing contact damage. Creates a ring of 6 blood shots upon death."
Red Ghost,285,0,"Disappears, then reappears near Isaac and fires a brimstone laser."
Red Host,27,1,Stationary enemy that can be damaged even when its head is lowered. Fire 5 spread blood shots when it raises its head.
Red Maw,26,1,Floats quickly towards Isaac and releases 4 blood shots in the cardinal directions upon death.
Redskull,212,4,"Moves diagonally around the room, creating a ring of fire around itself if Isaac gets close to it. Can be killed, but also dies when the room is cleared."
Revenant,841,0,"Slowly wanders around the room, stopping to fire a large line of fire at the player."
Ring Fly,222,0,Gathers with any other Ring Flies in the room. These flies orbit around themselves while following Isaac. Deals contact damage.
Rock Spider,818,0,"Slowly crawls around the room. If it sees Isaac, it crawls at him, trying to deal contact damage. Turns into a Spider upon death. Turns into a Coal Spider if it touches fire."
Rotten Gaper,10,3,"Walks toward Isaac, dealing contact damage. Its behavior varies slightly depending on its facial expression."
Rotty,226,1,"Slowly walks towards Isaac, leaving short-lasting Red Creep behind itself. Spawns a Bony or two Attack Flies upon death."
Round Worm,244,0,Pops out of the ground in random locations and spits a blood shot at Isaac if he is in sight.
Roundy,276,0,"Pops out of the ground in random locations, creating a small rock wave. Fires an explosive Ipecac shot at Isaac if he is in sight."
Sack,30,2,"Stationary enemy that decreases in size when hit, but regenerates to its full size until fully destroyed. Occasionally spawns Spiders when fully swollen."
Scarred Double Vis,39,3,Randomly wanders around the room. Pauses to charge and fire a Brimstone laser which fires from all four cardinal sides when Isaac gets in its line of sight.
Scarred Guts,40,1,"Attaches itself to a wall or obstacle and rolls around it, leaving a trail of damaging Red Creep."
Scarred Para-Bite,58,1,"Moves towards Isaac, dealing contact damage and firing a short-range blood shot at him. Can burrow underground and reappear elsewhere."
Selfless Knight,41,1,Moves erratically around the room and charges towards Isaac very quickly when in line of sight. Can only be damaged from behind.
Shady,888,0,"Walks slowly toward Isaac, occasionally firing a shot that creates shots perpendicular to itself while traveling and splits into a ring of shots upon hitting a wall or obstacle. Also occasionally jumps, creating lines of explosions in the cardinal directions. One of the few enemies that utilize Damage Scaling ."
Sick Boom Fly,25,5,"Flies across the room in straight diagonal lines, dealing contact damage and trailing poisonous gas. Upon death, explodes into a gas cloud and fires a ring of 6 green shots."
Singe's Ball,915,1,Spawned exclusively as apart Singe 's boss fight and used in his attacks. They can be pushed around and launched with explosions.
Siren Helper,966,0,Spawned in by The Siren and takes the form and control of all of her charmed familiars.
Siren Minion,3,220,Spawned in automatically charmed by The Siren . Orbits the boss and fires projectiles towards Isaac.
Skinny,226,0,"Slowly walks towards Isaac, leaving short-lasting Red Creep behind itself."
Slide,44,1,"Quickly slides towards Isaac when he gets in its line of sight, then moves slowly back to its original position. Cannot be destroyed."
Slog,40,2,"Attaches itself to a wall or obstacle and rolls around it, charging at Isaac when he is in sight."
Small Baby Long Legs,206,1,Runs away from Isaac and occasionally spawns Sacks.
Small Crazy Long Legs,207,1,"Chases Isaac, dealing touch damage. Occasionally stops to spit 4 blood shots in the diagonal directions."
Small Leech,810,0,"Chases Isaac continuously, not stopping at walls. Able to swim over gaps."
Small Maggot,853,0,"Slowly crawls toward Isaac, dealing contact damage."
Snapper,834,1,"Runs around the room, sprinting at Isaac when he gets in its line of sight and throwing out its whip when he gets in range."
Soul Sucker,61,2,Flies slowly towards Isaac. Spawns a vortex that fires four Brimstone beams in the cardinal directions upon death.
Soy Creep,240,1,Slowly crawls along walls to try to line up with Isaac and shoots a stream of shots seemingly affected by Soy Milk .
Spider,85,0,"Erratically moves around the room. If Isaac gets close to it, it chases him, trying to deal contact damage."
Spikeball,852,0,"Spike balls that fly in a line either horizontally or vertically, bouncing off walls and obstacles."
Spit,61,1,"Flies slowly towards Isaac, firing an Ipecac shot towards Isaac upon death."
Spitty,31,0,"Slowly moves around the room, occasionally firing a single blood shot forward."
Splasher,238,0,"Walks aimlessly around the room, firing Ipecac shots in random directions."
Splurt,871,0,Dashes towards Isaac twice and deals contact damage. Spawns 2 Drips upon death.
Squirt,220,0,Dashes towards Isaac and deals contact damage. Spawns 2 Dips upon death.
Sticky Leaper,34,1,"Hops around the room, dealing contact damage. Occasionally jumps high into the air, dropping down onto Isaac's position while creating a chaotic burst of tar shots in all directions and a puddle of slowing black creep ."
Stone Eye,201,0,Stationary and invulnerable monster that constantly rotates and fires a flickering Technology laser. Stops firing when the room is cleared.
Stone Grimace,42,0,Stationary and invulnerable monster that occasionally fires a blood shot at Isaac. Stops firing when room is cleared.
Stoney,302,0,"Chases Isaac and blocks tears, but does not deal contact damage. Temporarily pauses in exhaustion after a certain amount of time. Invulnerable; dies when the room is cleared."
Strider,814,0,"Erratically swims around the room. If it sees Isaac, it chases him, trying to deal contact damage."
Sub Horf,812,0,Stationary enemy that spins and fires shots while being moved around or knocked back.
Sucker,61,0,"Flies slowly towards Isaac, exploding into 4 shots in the cardinal directions upon death."
Suction Pitfall,291,1,"Invulnerable and stationary enemy which sucks Isaac towards itself. Isaac falls into it when walked over, taking damage and popping back out after a short delay."
Super Pooter,14,1,"Slowly drifts toward Isaac, occasionally firing two blood shots in a V-formation at him. Does not deal contact damage."
Swarm,281,0,"Follows Isaac in large, tightly-clustered groups and deals contact damage."
Swarm Spider,884,0,"Very erratically hops toward Isaac in large groups, dealing contact damage."
Swarmer,91,0,"Slowly floats around the room, spawning several Attack Flies . Spawns Pooters upon taking damage. Spawns a Boom Fly upon death."
Swinger,216,0,"Slowly moves towards Isaac as its head swings around its base. Upon death, spawns a Maw or a Globin depending on which part is killed."
Tainted Boom Fly,25,6,"Flies across the room in straight diagonal lines, dealing contact damage. Upon death, it glows brightly, warning that it is about to explode; this explosion sends 4 lines of further explosions in the cardinal directions, which span the length of the room."
Tainted Faceless,827,1,"Wanders around the room, rarely firing a radial burst of six shots. Chases Isaac and fires shots very frequently after taking damage."
Tainted Hopper,29,3,"Jumps and twirls around the room, shooting 4 rings of projectiles that increase in size with each shot."
Tainted Mole,829,1,Dig towards Isaac and release a ring of rock waves. Fires 3 blood shots at Isaac 4 times.
Tainted Mulligan,22,3,"Wanders around the room, avoiding Isaac and spawning 6 Ring Flies if he gets close. Spawns a plethora of fly enemies upon death."
Tainted Pooter,14,2,"Slowly drifts toward Isaac, occasionally firing four blood shots at him that split into two smaller ones when they hit a wall or obstacle."
Tainted Round Worm,244,2,"Pops out of the ground in random locations alongside several tail ends. The head fires a large blood shot that splits into a radial burst of 8 blood shots, while the tail ends shoot normal blood shots."
Tainted Soy Creep,240,3,Slowly crawls along walls to try to line up with Isaac and shoots a 4 diagonal streams of Soy Milk shots.
Tainted Spitty,31,1,"Slowly moves around the room, firing chaotic bursts of blood shots in all directions and occasionally spitting a line of blood shots in the direction it's facing. Fires two rotating rings of blood shots upon death."
Tainted Sub Horf,812,1,Will only shoot when hit. Takes heavy knockback and rotates when hit. Shoots a lot faster and has bigger projectiles than its normal variant.
Tainted Sucker,61,7,"Flies slowly towards Isaac. Upon death, fires a radial burst of six blood shots that each also fires a radial burst of six blood shots."
Tainted Tube Worm,244,3,"Pops out of the ground in random locations, spitting 4 explosive shots towards Isaac."
Tar Boy,307,0,"Fires a short-ranged spray of shots that leave behind slowing Black Creep . Occasionally burrows underground and reappears under any pools of black creep in the room. If Isaac stands on the Creep, the Tar Boy can fire shots straight upwards out of the Creep underneath Isaac/ send out a tentacle underneath Isaac."
Teleport Pitfall,291,2,"Invulnerable and stationary enemy which Isaac falls into when walked over, taking damage and popping back out at a random location after a short delay."
The Thing,304,0,"Crawls along a wall and attempts to line up with Isaac, then spits a line of damaging Red Creep."
Ticking Spider,250,0,"Crawls around the room erratically, following Isaac and dealing contact damage. Can jump small distances. Explodes upon death."
Tinted Rock Spider,818,1,"Quickly crawls around the room. If it sees Isaac, it crawls at him, trying to deal contact damage. Turns into a Soul Heart upon death. Can only spawn by breaking tinted rocks on Mines or Ashpit ."
Triple Grimace,42,2,Stationary and invulnerable monster that occasionally fires a triple shot at Isaac. Stops firing when room is cleared.
Trite,29,1,Quickly leaps towards Isaac and deals contact damage.
Tube Worm,244,1,Pops out of the ground in random locations and fires a long-range spray of arcing shots where Isaac will be.
Tumor,229,0,"Moves around the room diagonally, occasionally firing 6 blood shots in all directions. Fires more often upon getting damaged."
Twitchy,851,0,"Alternates between walking towards and rapidly leaping at Isaac, dealing contact damage. Can leap to Isaac's current position, or where Isaac is heading, and can also leap away to dodge incoming fire."
Ulcer,289,0,Pops out of the ground in random locations and spawns a Dart Fly if Isaac is in sight. Fires a blood shot after spawning 6 Dart Flies.
Ultra Death Head,951,42,Invulnerable enemy spawned by Ultra Death that moves across the room in a waving motion in large quantities as a part of one of his attacks. Dies upon the completion of the attack.
Ultra Death Scythe,951,41,"Stays stationary for a moment, then travels in straight lines towards Ultra Death ."
Ultra Famine Fly,951,11,Charges at Isaac at a delay. Deals contact damage. Spawned by Ultra Famine .
Ultra Greed Coin (Bomb),293,2,Spins on itself and explodes with a large radius if not destroyed.
Ultra Greed Coin (Heart),293,3,Spins on itself and heals Ultra Greed for 13.125 HP each if not destroyed.
Ultra Greed Coin (Key),293,1,"Spins on itself and opens a golden door around the room if not destroyed, spawning hordes of Greed Gapers ."
Ultra Greed Coin (Spinner),293,0,"Spins around the room, dealing contact damage."
Ultra Pestilence Fly,951,21,"Flies in swarms around Ultra Pestilence , blocking shots and dealing contact damage."
Ultra Pestilence Fly Ball,951,23,"Floats towards Isaac, doing contact damage and spawning Ultra Pestilence Flies upon taking damage."
Unborn,860,0,"Floats quickly towards Isaac, and occasionally teleports to another position near him."
Vis,39,0,Randomly wanders around the room. Pauses to charge and fire a Brimstone laser when Isaac gets in its line of sight.
Vis Fatty,886,0,"Spawns with a Fetal Demon attached to it and slowly walks towards Isaac. Will occasionally fart, briefly pushing the demon away and spawning creep around itself and the demon. If the demon is killed first, the Fatty will shoot out Brimstone in the diagonal direction closest to Isaac. It will then fly around the room diagonally, bumping off of walls and tall blocks, all while continuously firing Brimstone behind it."
Vis Versa,836,0,Randomly wanders around the room. Pauses to charge and fire a homing Brimstone laser when Isaac gets in its line of sight.
Visage Plasma,903,20,"Floats in diagonal directions, doing contact damage. Spawned by The Visage and used in its phase 3 attacks."
Vomit Grimace,42,1,Stationary and invulnerable monster that occasionally fires an Ipecac shot at Isaac. Stops firing when room is cleared.
Walking Boil,88,0,Does not shrink or regenerate. Walks around aimlessly and fires multiple short-ranged blood projectiles in random directions.
Walking Gut,88,1,Does not shrink or regenerate. Walks around aimlessly and fires Ipecac shots in random directions.
Walking Sack,88,2,Does not shrink or regenerate. Walks around aimlessly and occasionally spawns Spiders .
Wall Creep,240,0,Crawls along walls to try to line up with Isaac and shoots three blood shots in a line.
Wall Hugger,218,0,"Moves around the room like Guts , damaging Isaac by contact. Cannot be destroyed."
Whipper,834,0,"Runs around the room, sprinting at Isaac when he gets in its line of sight and lashing at him when it gets close."
Willo,808,0,"Flies in a circle around Isaac (in formation with other Willos if available), keeping an exact distance away from him. One Willo at a time will occasionally light up and fire a shot at Isaac."
Wizoob,219,0,"Disappears, then appears near Isaac and spits a cluster of spectral tears at him."
Wraith,807,0,"Walks toward Isaac, dealing contact damage. They are invisible and can only be seen through the reflection they cast in the water, or the ripples they make as they walk."
Wrinkly Baby,38,3,Dashes towards Isaac at high speed and fires three blood shots in his direction once stopped.
