Name,id,Description
Friend Zone,364,"Spawns a white attack fly that orbits somewhere between Distant Admiration and Forever Alone , dealing 45 damage per second."
Lost Fly,365,Spawns a fly familiar that moves in a straight line and circles around the first wall or obstacle it hits. It deals 105 damage per second on contact. It deals 56 damage per second and forces nearby enemies to attack it.
Scatter Bombs,366,+5 Bombs . Isaac's bombs explode into 2-4 tiny bombs.
Sticky Bombs,367,+5 Bombs . Bombs stick to enemies and spawn 2-4 Blue Spiders if they kill an enemy. They also leave a long-lasting puddle of slowing white creep .
Epiphora,368,"Shooting in one direction increases Isaac's rate of fire until the cap is reached. As soon as Isaac changes direction or stops shooting, rate of fire is reset to its normal amount."
Continuum,369,Grants spectral tears and increases range . Tears travel through walls and appear at the opposite side of the room.
Mr. Dolly,370,"+0.7 tears , +5.25 range , +0.5 tear falling speed , Spawns a combination of 3 Red Hearts , Soul Hearts or Black Hearts on the floor when picked up. +0.7 tears , +2.5 range , spawns 3 random types of Hearts on the floor when picked up."
Curse of the Tower,371,"Upon taking damage, spawns six Troll Bombs around the room, similar to the effect of XVI - The Tower ."
Charged Baby,372,"Spawns a familiar that occasionally drops a Lil' Battery , gives an active item charge, or petrifies all enemies in the room."
Dead Eye,373,Isaac's damage increases each time an enemy is hit. Damage is reset upon missing a shot.
Holy Light,374,"Adds a chance to fire holy tears, which will create a damaging light beam in the area if they hit an enemy."
Host Hat,375,A host familiar that sits on Isaac's head and has a random chance to block enemy shots and retaliate with 3 tears. Grants immunity to explosions.
Restock,376,"Causes Shops to instantly restock their items when they are bought. Outside of Greed Mode , the restocked item's cost is increased after each purchase."
Bursting Sack,377,Spider enemies no longer target or deal contact damage to Isaac.
Number Two,378,"Continuously firing tears for three seconds causes Isaac to drop a Butt Bomb , which damages and confuses all enemies in the room when it explodes."
Pupula Duplex,379,"Gives Isaac spectral tears and gives his tears a wide arc shape, increasing their size."
Pay To Play,380,"+5 Coins . Most doors require one Penny to open instead of a Key . +5 Coins . All locked doors, Locked Chests , and Key Blocks must be opened with one Penny instead of Keys ."
Eden's Blessing,381,+0.7 tears up. Grants a random item at the start of the next run.
Lil Gurdy,384,"A Gurdy Jr. familiar that charges up while Isaac is firing, bouncing around the room when released and dealing contact damage based on its speed."
Bumbo,385,"Spawns a beggar familiar which picks up any nearby coins , leveling up after collecting several coins. At level 2, Bumbo gains a body. At level 3, it begins to fire tears. At level 4, Bumbo follows enemies and gains contact damage."
Censer,387,Spawns a familiar which creates a circular aura that slows down enemies and enemy shots inside.
Key Bum,388,"Spawns a familiar that follows Isaac and collects Keys for himself, giving random Chests in return."
Rune Bag,389,Spawns a familiar that drops a random rune after clearing enough rooms .
Seraphim,390,Spawns an angel familiar who follows Isaac and fires homing tears which deal 10 damage and have 75% shot speed.
Betrayal,391,"Charms all enemies in the room when Isaac takes damage. Enemies are able to damage each other. If an enemy is damaged by another enemy, they will attack that enemy instead of Isaac."
Zodiac,392,Gives Isaac a random zodiac item effect that changes every floor.
Serpent's Kiss,393,Tears have a chance to apply a poison effect to enemies. Isaac poisons enemies on contact. Poisoned enemies have a chance to drop a Black Heart when killed.
Marked,394,"Isaac will automatically fire tears directed at a red target on the ground. The target can be moved with tear controls. +0.7 tears , increases range ."
Tech X,395,Tears are replaced with laser rings that pierce through enemies and deal damage to enemies within them. Can be charged to increase the effectiveness of the ring.
Tractor Beam,397,"Isaac's tears are bound to a beam emitting in the direction he's firing. +0.5 Tears , +5.25 Range , +0.16 Shot Speed . +1 Fire Rate , +2.5 Range , +0.16 Shot Speed ."
God's Flesh,398,"Tears have a chance to shrink enemies, making them run away from Isaac. Shrunk enemies can be crushed and killed by walking over them."
Maw Of The Void,399,Isaac can charge and unleash a black ring that rapidly deals damage around him. The ring can cause enemies to drop Black Hearts . +1 damage .
Spear Of Destiny,400,"In addition to tears, Isaac holds a spear in front of him which deals contact damage equal to 2× his tear damage , and occasionally inflicts fear ."
Explosivo,401,Isaac's tears have a chance to stick to enemies and explode.
Chaos,402,Drops 1-6 random pickups on the floor. Causes items to be chosen from random item pools .
Spider Mod,403,Displays Isaac's tear damage and enemy health bars. Spawns a familiar that wanders around and inflicts random status effects on enemies it touches. Can spawn a Lil' Battery / Blue spider upon clearing a room .
Farting Baby,404,"Spawns a familiar that follows Isaac and blocks enemy shots. If a shot hits Farting Baby, it has a chance to fart, which charms , poisons , or knocks back nearby enemies."
GB Bug,405,"Spawns a familiar that bounces diagonally around the room , applying a random status effect to enemies it hits and has a chance to re-roll pickups it passes over. Spawns a familiar that follows Isaac. Double tapping the fire button launches it forward, causing it to reroll the first monster or pickup it hits."
Purity,407,"Boosts one of Isaac's stats depending on the color of the aura around him. The aura disappears upon taking damage and reappears with a random color upon entering a new room. Red boosts damage , blue boosts tears , yellow boosts speed , and orange boosts range ."
Athame,408,"When Isaac takes damage, a damaging black ring briefly appears around him. This ring can cause enemies to drop Black Hearts . After Isaac kills an enemy, adds a luck -based chance to spawn a damaging black ring around them."
Empty Vessel,409,"Grants two Black Hearts . While Isaac has no red hearts , grants flight and periodically grants an invincibility shield for a few seconds."
Evil Eye,410,Adds a chance to fire a slow-moving eye that fires tears in the same direction as Isaac. The eye is destroyed when it hits an enemy or obstacle.
Lusty Blood,411,Isaac's damage increases for the current room each time he kills an enemy.
Cambion Conception,412,"After taking damage a certain amount of times, a permanent demonic familiar spawns."
Immaculate Conception,413,"Upon picking up a certain amount of health , spawn a permanent angelic familiar ."
More Options,414,Two item pedestals are presented in every Treasure Room . Only one can be taken; the other will disappear.
Crown Of Light,415,"+2 Soul Hearts . While Isaac has no empty red hearts , grants 2x damage , increased range , and -0.3 shot speed . Regardless of health, the crown deactivates for the current room when Isaac takes damage."
Deep Pockets,416,"Allows Isaac to carry two cards or pills (or a combination of both) at the same time. Increases the coin cap to 999. If a room would otherwise yield no reward, 1-3 coins will spawn."
Succubus,417,"Spawns a flying familiar that bounces around the room with a black aura, dealing rapid damage to any enemies inside it. While standing in the aura, Isaac gains a 1.5× tear damage multiplier."
Fruit Cake,418,Isaac's tears gain a random effect that changes every shot.
Black Powder,420,"Isaac leaves a trail of black powder on the floor. Walking in a circle will spawn a pentagram symbol on the floor, which deals 10 damage per tick to any enemies inside it."
Circle of Protection,423,"Surrounds Isaac with a large white halo that occasionally deals Isaac's tear damage to enemies inside it, and can convert enemy shots into friendly homing tears ."
Sack Head,424,"Spawns a Grab Bag on pickup. Coins , Bombs , Keys , cards, runes and batteries have a chance to become Grab Bags ."
Night Light,425,A cone of light shines in the direction Isaac is moving that slows enemies and enemy shots.
Obsessed Fan,426,Spawns a familiar that follows Isaac's movements on a delay and deals 30 contact damage per second to enemies.
PJs,428,Grants 4 Soul Hearts and fully restores Isaac's health .
Head of the Keeper,429,Isaac's tears become coins. Hitting an enemy has a 5% chance to drop a Penny .
Papa Fly,430,"Spawns a familiar that follows Isaac's movements on a 3 second delay, firing tears at nearby enemies."
Multidimensional Baby,431,Spawns a familiar that will follow Isaac's movements on a 2.5-second delay. Tears that pass through the baby will be doubled and increase in speed.
Glitter Bombs,432,+5 Bombs . Bombs have a chance to drop random pickups or charm enemies when they explode.
My Shadow,433,Inflicts fear on all enemies in the room upon taking damage and spawns black friendly Chargers that attack enemies. Spawns a shadow familiar that closely follows behind Isaac. It spawns a black friendly Charger whenever an enemy touches it.
Lil Loki,435,Spawns a Loki familiar that follows Isaac and fires 4 tears in a cross pattern.
Milk!,436,"Spawns a glass familiar that spills on the floor upon taking damage. After the milk spills, Isaac's tear delay is decreased by 2 for the current room . After the milk spills, Isaac's fire rate is increased by 1 for the current room ."
Binky,438,"Grants one Soul Heart , +0.75 tears and decreases Isaac's size."
Kidney Stone,440,"Isaac is occasionally forced to stop firing and charge an attack that launches a massive piercing, spectral kidney stone and a barrage of tears. -0.2 speed , decreases range ."
Dark Prince's Crown,442,"When at exactly one Red Heart , +0.75 tears , +1.5 range , and +0.2 shot speed . When at exactly one Red Heart , +2 fire rate , +1.5 range , and +0.2 shot speed ."
Apple!,443,+0.3 tears . Adds a chance to fire a razor blade that deals 4× Isaac's damage .
Lead Pencil,444,"After every 15 tears fired, Isaac will fire a high-damage cluster of tears."
Dog Tooth,445,"+0.3 damage , +0.1 speed . Plays a howl or bark sound when entering a room with undiscovered Secret Rooms or Crawl Spaces ."
Dead Tooth,446,"While firing, Isaac gains a green aura that poisons nearby enemies."
Linger Bean,447,Constantly shooting causes Isaac to release gas clouds that can be pushed by his tears and damage nearby enemies.
Shard of Glass,448,"Upon taking damage, Isaac has a chance to drop a full red heart, gain 5 range, and leave a trail of damaging red creep for the current room. Taking damage causes Isaac to bleed, spraying a volley of blood in the direction he fires. Bleeding will eventually damage him, but it can be stopped by picking up a Red Heart ."
Metal Plate,449,Grants one Soul Heart . Enemy shots have a chance to be reflected at the shooter as confusing tears.
Eye of Greed,450,"Every 20 tears, Isaac loses 1 Penny and shoots an additional gold tear that petrifies enemies and turns them into gold. Any enemy killed while in this state will drop coins."
Tarot Cloth,451,Drops a random card or rune . Doubles the effects of most cards and runes. Doubles the effects of tarot cards.
Varicose Veins,452,Taking damage releases a ring of 10 high damage tears.
Compound Fracture,453,"Increases Range . Tears turn into bones, which shatter into 1-3 bone shards upon hitting an enemy or obstacle."
Polydactyly,454,"Allows Isaac to carry two cards , pills , or any combination of both. Spawns one random card, rune , or pill."
Dad's Lost Coin,455,"+1.5 range , +1 tear falling speed . Drops a Lucky Penny . +2.5 range . Drops a Lucky Penny ."
Midnight Snack,456,Grants one full Red Heart container . Heals 1 additional Red Heart .
Cone Head,457,Grants a Soul Heart . Gives Isaac a chance to ignore any damage taken.
Belly Button,458,Drops a random trinket . Grants a second trinket slot.
Sinus Infection,459,Adds a chance to fire a booger that sticks to enemies and deals damage over time.
Glaucoma,460,Adds a chance to shoot tears that confuse enemies for an extremely long time.
Parasitoid,461,Adds a chance to fire an egg sack which creates slowing creep and spawns a Blue Fly or Blue Spider upon hitting an enemy.
Eye of Belial,462,"Grants piercing tears . After piercing one enemy, tears start homing and deal double damage ."
Sulfuric Acid,463,+0.3 damage . Adds a chance to fire acidic tears which can destroy obstacles and open doors.
Glyph of Balance,464,Grants 2 Soul Hearts and modifies drops from Champion monsters based on certain conditions. Also modifies room clear drops.
Analog Stick,465,+0.35 tears up. Allows Isaac to fire tears diagonally.
Contagion,466,"The first enemy killed in a room releases a gas cloud that poisons nearby enemies. Affected enemies will also release gas upon death, spreading the effect."
Finger!,467,"Spawns a finger familiar that faces in the same direction as Isaac, rapidly damaging enemies it points at for 10% of Isaac's damage."
Shade,468,"Spawns a shadow familiar that follows Isaac's movements on a 1 second delay and deals contact damage to enemies. After dealing enough damage, it is absorbed by Isaac and spawns friendly Chargers ."
Depression,469,Spawns a familiar that leaves a trail of creep that damages enemies at 6 damage per second. Has a chance to spawn damaging beams of light onto enemies that touch the cloud.
Hushy,470,"Spawns a Error: Error: The given entity (""Hush"") does not exist. familiar that bounces diagonally around the room and deals contact damage. While firing tears, it stops moving."
Lil Monstro,471,Spawns a familiar that fires clusters of tears. Must be charged before shooting.
King Baby,472,"Spawns a familiar that follows Isaac and makes other familiars follow it. While firing tears, other familiars stop moving."
Big Chubby,473,"Spawns a familiar that follows Isaac and charges across the room when Isaac fires, blocking shots and dealing 40.5 damage per second on contact."
Tonsil,474,Grants a familiar that follows Isaac and blocks enemy shots.
Acid Baby,491,"Spawns a familiar that drops a random pill every 3 rooms . Upon using a pill, all enemies in the room are poisoned ."
YO LISTEN!,492,"+1 luck . Spawns a fairy familiar that points out Secret Rooms , Crawl Space entrances, and tinted rocks ."
Adrenaline,493,Increases damage based on how many empty Red Heart containers Isaac has.
Jacob's Ladder,494,Tears fire sparks of electricity in random directions upon hitting an obstacle or enemy.
Ghost Pepper,495,Gives a chance to shoot fires alongside tears that block enemy shots and deal damage to enemies that touch them. Gives a chance to shoot blue fires alongside tears that become smaller as they travel.
Euthanasia,496,"Adds a luck-based chance to fire needles that instantly kill basic enemies and deal triple damage to bosses . If a needle kills an enemy, it bursts into more tears/needles."
Camo Undies,497,"Isaac becomes camouflaged at the beginning of each room. Until he shoots, all non-boss enemies will be confused . Isaac gains +0.5 Speed while camouflaged, and gains Tears and Damage upon breaking it."
Duality,498,"Whenever a Devil Room or Angel Room would spawn after defeating a boss, both rooms spawn. Only one can be entered."
Eucharist,499,"An Angel Room will always spawn after every boss fight, excluding the first floor and floors after Chapter 4."
Sack of Sacks,500,Spawns a familiar that drops a Grab Bag every 5-6 rooms cleared.
Greed's Gullet,501,Grants a Red Heart container for every 25 Coins Isaac has.
Large Zit,502,Adds a chance to fire a creep shot that deals double damage and leaves a trail of slowing white creep .
Little Horn,503,"Adds a chance to fire a piercing tear that instantly kills any enemy that it touches. Adds a chance to fire a tear that summons Big Horn 's hand to crush the first enemy it hits, instantly killing monsters or greatly damaging bosses."
Poke Go,505,"Upon entering a room with enemies in it, has a chance to spawn a random friendly enemy that persists across rooms."
Backstabber,506,Isaac's tears deal double damage and inflict bleeding on enemies if they're facing away from Isaac.
Mom's Razor,508,"Spawns an orbiting razor that deals contact damage and inflicts bleeding on enemies, causing them to slowly take damage over time."
Bloodshot Eye,509,"Spawns an orbital familiar that deals contact damage and fires a tear every 2 seconds. Spawns an orbital familiar that deals contact damage, blocks shots, and fires tears at enemies in its line of sight."
Angry Fly,511,Spawns a fly familiar that orbits around a random enemy and deals 30 damage per second to enemies it comes in contact with.
Bozo,513,"+0.1 flat damage , grants a Soul Heart . Enemies can randomly become briefly charmed or feared . Taking damage has a chance to spawn a Rainbow Poop ."
Broken Modem,514,"Enemies, enemy shots, tears, and pickups will briefly freeze in place at random intervals. The reward from clearing a room will sometimes be duplicated."
Fast Bombs,517,"+7 Bombs . Removes the delay between bomb placements, allowing them to be placed rapidly. Bombs will no longer knock each other away."
Buddy in a Box,518,Spawns a familiar with a random tear effect. The familiar is randomized at the start of each floor .
Lil Delirium,519,Grants a familiar that transforms into another random familiar every 10 seconds.
Jumper Cables,520,Grants an active item charge every 15 enemies killed.
Technology Zero,524,Connects Isaac's tears with electricity that can damage enemies.
Leprosy,525,"Taking damage grants a body part orbital that blocks shots and deals contact damage, up to a maximum of three. The body parts are destroyed after blocking enough damage."
7 Seals,526,Spawns a random Harbinger familiar that changes every 10 seconds. Harbingers have different behaviors and spawn themed Locusts .
Angelic Prism,528,Spawns an orbital familiar with a large orbital radius. Tears that pass through the prism split into four multi-colored tears.
Pop!,529,"Replaces Isaac's tears with eyeballs that can bounce off of each other. The eyeballs are not limited by range , and will instead dissipate when they stop moving or when hitting an enemy or obstacle."
Death's List,530,Grants a pickup or stat upgrade if all enemies in a room are killed in the order they are marked.
Haemolacria,531,"Tears are now fired in an arc. Upon hitting the floor, an obstacle, or an enemy, they burst into many smaller tears in all directions. Increases tear delay."
Lachryphagy,532,"Isaac's tears decelerate as they travel. Upon stopping or hitting an obstacle, they burst into 8 tears in all directions. Tears can be fired into other tears to feed them, increasing their damage."
Trisagion,533,Tears are replaced with piercing white blasts of light that deal less damage but can damage the same enemy multiple times.
Schoolbag,534,Allows Isaac to hold two active items.
Blanket,535,"Grants one Soul Heart . Upon entering a boss room, grants a shield that blocks one hit, then disappears."
Lil Spewer,537,"Drops a random pill , and spawns a familiar that charges up and fires creep . Using pills changes the creep type."
Marbles,538,"Spawns 3 random trinkets . Taking damage has a 5% chance to swallow Isaac's currently held trinket, gaining its effect permanently."
Mystery Egg,539,"Spawns an egg familiar , which hatches a random friendly monster when Isaac is hurt once per room. The power of the monster improves for each consecutive room cleared without taking damage."
Flat Stone,540,"Tears bounce off the floor, creating splashes. Splashes deal 25% of Isaac's tear damage to all enemies in a small area."
Marrow,541,Grants one Bone Heart and spawns three Red Hearts .
Slipped Rib,542,Spawns a bone familiar that circles around Isaac and reflects enemy shots.
Hallowed Ground,543,"Spawns a white poop familiar , which turns into a White Poop when Isaac is hurt. White poop has an aura that increases tear fire rate and can block enemy shots. The aura also increases damage by 20% and gives homing ."
Pointy Rib,544,"Spawns a bone familiar that hovers back and forth in front of Isaac, dealing damage equal to Isaac's damage ."
Dad's Ring,546,Creates a ring of light around Isaac that petrifies enemies in contact.
Divorce Papers,547,"Grants one Bone Heart , +0.7 tears , spawns a Mysterious Paper ."
Jaw Bone,548,"Spawns a familiar that flies through the room while firing, dealing a flat 7 contact damage to enemies and retrieving pickups ."
Brittle Bones,549,"Replaces all Red Heart Containers with 6 empty Bone Hearts . Upon losing a Bone Heart, Isaac fires bones in 8 directions and permanently gains a tears up. Upon losing a Bone Heart, Isaac fires bones in 8 directions and permanently gains a fire rate up."
Broken Shovel,551,One of two parts necessary to create Mom's Shovel . No effect if somehow obtained on its own.
Mucormycosis,553,"Gives Isaac the chance to fire spore tears that stick to enemies and blow up after a few seconds, dealing damage and poisoning nearby enemies and releasing more spores."
2Spooky,554,Enemies near Isaac are afflicted with fear .
Eye Sore,558,Causes Isaac to occasionally fire extra tears in random directions while shooting.
120 Volt,559,Repeatedly zaps enemies that are close to Isaac.
It Hurts,560,Releases a ring of tears and increases fire rate for the current room when Isaac takes damage.
Almond Milk,561,"Quadruples fire rate , with ×0.3 damage multiplier. Each tear is given a random effect that alters its movement."
Rock Bottom,562,Locks Isaac's attributes to their highest values reached.
Nancy Bombs,563,+5 Bombs . Each bomb gains 1-4 random bomb synergies.
A Bar of Soap,564,"+0.5 Tears , +0.2 Shot Speed ."
Blood Puppy,565,"Spawns a familiar that chases enemies. After killing enough enemies, it becomes more powerful but will also try to hurt Isaac, it will also generate Half Red Hearts on enemy kills. It can increase in power one more stage after killing even more enemies. Dealing enough damage to it returns it to normal."
Dream Catcher,566,"During the transition between floors, Isaac's nightmare shows the contents of the  upcoming floor's Treasure Room , as well as the floor's boss . Grants a Half Soul Heart when entering a new floor."
Paschal Candle,567,Gives Isaac a familiar that grants +0.4 Fire Rate for each consecutive room he's cleared without taking damage. The bonus stacks up to five times.
Divine Intervention,568,Double tapping a fire key creates a shield that pushes away enemies and reflects enemy projectiles and lasers.
Blood Oath,569,"Stabs Isaac at the beginning of each floor, draining his Red Hearts . Increases damage and speed for the floor based on the amount drained."
Playdough Cookie,570,Grants multicolored tears. Each color comes with a different status or tear effect.
Orphan Socks,571,Prevents creep and floor spikes from damaging Isaac. Also gives Isaac +0.3 speed and 2 Soul Hearts .
Eye of the Occult,572,"+1 damage , +2 range , -0.16 shot speed . Isaac's tears can be controlled mid-flight with tear controls."
Immaculate Heart,573,Adds one Red Heart Container and fully restores health. x1.2 damage multiplier. Isaac will occasionally fire extra tears that orbit around him.
Monstrance,574,Isaac gains an aura that deals damage to enemies inside it.
The Intruder,575,"A familiar burrows in Isaac's head, firing 4 slowing tears. Upon taking damage, there's a chance it will burst out of Isaac's head, spawning blue spiders and chasing enemies for the current room."
Dirty Mind,576,Destroying poop spawns Dip Familiars that follow Isaac and damage enemies. Destroying different types of poop spawns different Dips with special effects.
Spirit Sword,579,"Instead of tears, Isaac swings a sword. Charging does a spin attack and fires a projectile, and a projectile is sometimes fired with normal swings if Isaac has no empty Red Heart Containers ."
Psy Fly,581,Spawns a fly orbital familiar that seeks out incoming enemy shots and destroys them.
Rocket in a Jar,583,"+5 Bombs . If Isaac is currently firing, placing a bomb will instead shoot a fast-moving, explosive rocket in the direction he's facing."
The Stairway,586,Generates a ladder at the start of every floor that leads to a unique Angel Room shop.
Sol,588,"Reveals the location of the Boss Room . Upon defeating a boss, activates XIX - The Sun , fully recharges Isaac's active item, grants bonus damage and luck for the rest of the floor, and removes curses ."
Luna,589,Adds an extra Secret Room and Super Secret Room to each floor. Secret Rooms contain a beam of light that increases Fire Rate for the current floor and gives a Half Soul Heart .
Mercurius,590,"+0.4 speed . Doors stay open after entering a room, even in rooms with enemies."
Venus,591,Adds one red Heart container . Heals 1 additional Red Heart . Enemies near Isaac become charmed .
Terra,592,"+1 Damage . Replaces tears with rocks that deal variable damage, have increased knockback , and can destroy obstacles ."
Mars,593,"Dash by double-tapping the movement key, becoming invulnerable and damaging enemies. There's a short cooldown before Isaac can dash again."
Jupiter,594,"+2 red Heart containers , -0.3 speed . Isaac builds speed while standing still, and releases poison gas clouds when he moves afterwards."
Saturnus,595,"Upon entering a room, a circle of tears orbits Isaac. Enemy tears have a chance to be caught in orbit, turning them friendly."
Uranus,596,"Isaac shoots ice tears, which slow enemies and freeze monsters they kill. Frozen enemies slide away and explode into ice shards when touched."
Neptunus,597,"Isaac's mouth fills with tears over time while not firing, up to a cap. Holding the fire button will release all stored tears in rapid succession."
Pluto,598,"+0.7 tears . Significantly shrinks Isaac, allowing him to squeeze between objects and makes some enemy shots pass over him."
Voodoo Head,599,Spawns an additional Curse Room on each floor. Curse Rooms have improved layouts.
Eye Drops,600,"Increases the fire rate in Isaac's left eye, causing his eyes to fire at different rates."
Act of Contrition,601,"+0.7 tears , grants an Eternal Heart . Allows Angel Rooms to appear even if a Devil Deal has been taken before. Reduces the Devil/Angel room chance penalty for taking Red heart damage."
Member Card,602,Adds a trapdoor to every Shop that leads to a second shop with a unique stock and marked-up prices.
Battery Pack,603,Recharges Isaac's currently held active item and drops 2-4 batteries.
Ocular Rift,606,"Adds a chance to fire tears that create rifts where they land, which suck enemies, pickups , and shots towards them and damage enemies in the area."
Boiled Baby,607,Gives Isaac a familiar that fires chaotic bursts of tears in all directions.
Freezer Baby,608,"Spawns a shooting familiar that has a chance to petrify enemies, and freezes monsters upon killing them."
Bird Cage,610,"The first time Isaac takes damage in a room, a familiar leaps on an enemy, dealing damage and releasing a rock wave. For the rest of the room, it chases enemies similar to Dead Bird ."
Lost Soul,612,"Creates a ghostly familiar that closely follows behind Isaac. It dies in one hit, but respawns at the start of the next floor. Each time it survives until the next floor, it rewards Isaac with Soul Hearts , Eternal Hearts , or an Item ."
Blood Bombs,614,Grants a Red Heart container and restores 5 hearts. Bombs leave behind damaging red creep . Isaac can place Bombs at the cost of half a heart if he doesn't have any.
Lil Dumpy,615,"Spawns a Dumpy familiar that pushes away nearby enemies and projectiles just before Isaac is about to be hit, then falls asleep. He can be awoken by walking to him."
Bird's Eye,616,Gives a chance to shoot fires alongside tears that block enemy shots and deal damage to enemies that touch them.
Lodestone,617,"Gives Isaac the chance to fire tears that magnetize enemies they hit, causing them to attract nearby pickups and enemies, as well as tears/shots from all sources."
Rotten Tomato,618,Adds a chance to fire tears that mark enemies with the Bait status effect. Enemies marked as bait are attacked by other enemies.
Birthright,619,Grants a character -specific effect that enhances their special abilities.
Red Stew,621,Refills all heart containers . Grants an enormous damage boost that wears off over time.
Booster Pack,624,Drops 5 random cards .
Knife Piece 1,626,"Combined with Knife Piece 2 , creates a knife familiar that damages enemies and can open the door to the Corpse ."
Knife Piece 2,627,"Combined with Knife Piece 1 , creates a knife familiar that damages enemies and can open the door to the Corpse ."
Bot Fly,629,Spawns an orbiting fly familiar that fires shielded tears at incoming enemy projectiles.
Evil Charm,632,"+2 luck . Provides immunity to burn , confusion , fear , and poison ."
Dogma,633,"Grants flight , +2 damage , and increases speed to 1.1. Grants enough health to have 6 full hearts, if possible. Grants the Holy Mantle effect for the room it was obtained in. Automatically given to Isaac after defeating Dogma ."
Purgatory,634,"While in a room with enemies, spawns red cracks in the ground. Walking over these cracks summons ghosts that launch themselves at enemies and explode."
Knockout Drops,637,Adds a chance to shoot a fist tear that has extremely high knockback and confuses enemies.
Akeldama,641,"While in an uncleared room, Isaac forms a trail of bloody tears that drags behind him, bursting and dealing damage upon contact with enemies."
Revelation,643,"Grants flight and two Soul Hearts . In addition to tears, Isaac can charge up and fire a powerful holy laser."
Consolation Prize,644,"Increases Isaac's lowest stat and drops either 3 Coins , 1 Bomb , or 1 Key depending on what Isaac has the least of."
Tinytoma,645,"Gives Isaac a Teratoma orbital that blocks shots, deals contact damage, and splits into smaller versions of itself upon taking damage. The smaller versions break into blue spiders ."
Brimstone Bombs,646,+5 Bombs . Bombs fire four Brimstone lasers in the cardinal directions upon exploding.
4.5 Volt,647,"Active items don't charge when clearing rooms. Instead, they're charged by dealing damage to enemies."
Fruity Plum,649,"Gives Isaac a miniature Baby Plum familiar that propels itself diagonally around the room, firing tears behind itself as it travels."
Star of Bethlehem,651,"Spawns a star familiar that slowly travels towards the Boss Room , giving an aura that increases damage and tears and grants homing tears ."
Cube Baby,652,"Spawns an ice cube familiar that slides around when walked into. It slows and deals contact damage, freezing monsters it kills."
False PHD,654,Converts good pills into bad pills and identifies all pills. Bad pills now have secondary positive effects. Grants one Black Heart .
Vasculitis,657,"Enemies explode into tears upon death, which inherit the effects of Isaac's tears."
Giant Cell,658,"Causes Isaac to spawn Minisaac familiars when he takes damage, which chase and shoot at nearby enemies."
Tropicamide,659,"+2.5 Range , Increases tear size."
Card Reading,660,"Spawns two portals at the beginning of each floor that each lead to either the Boss Room , Treasure Room , Secret Room , or the Shop ."
Quints,661,The first five enemies killed in a room will spawn stationary shooting familiars where they died.
Tooth and Nail,663,"Isaac periodically turns into a spiked statue, briefly becoming invulnerable and dealing contact damage."
Binge Eater,664,+1 Red Heart Container and fully heals Isaac. Item pedestals also offer a random food item. Picking up a food item temporarily grants +3.6 damage and permanently boosts 2 stats .
Guppy's Eye,665,"Shows the contents of Chests , Fire Places , Grab Bags , and Shopkeepers before they're opened/destroyed."
Strawman,667,"Spawns a controllable Keeper to fight enemies alongside Isaac, functioning similarly to Jacob and Esau . If Keeper dies, he spawns 5 blue spiders and Strawman is removed from Isaac's inventory."
Dad's Note,668,Sends Isaac on an Ascent toward Home .
Sausage,669,"Adds a Red Heart Container , fully heals Isaac, and gives +0.2 Speed , +0.5 Damage , +0.5 Tears , +2.5 Range , +0.2 Shot Speed , and +1.0 Luck . Increases the chance of encountering a Devil Room , Angel Room , and/or Planetarium each by 6.9%."
Options?,670,"If a room gives a reward when cleared, there will be two different rewards to chose from. Taking one causes the other to disappear."
Candy Heart,671,Gives Isaac a permanent stat boost whenever he heals with Red Heart pickups.
A Pound of Flesh,672,"Devil deals now cost Coins , Shop items now cost health , and consumables in shops are free but surrounded by spikes."
Redemption,673,"If Isaac enters a Devil Room but leaves without taking/opening anything in it, he gets +1 Damage and a Soul Heart at the start of the next floor."
Spirit Shackles,674,"On death , Isaac's ghost is chained to his dead body and he can continue to fight with 1/2 of a heart, returning to life after 10 seconds. After it activates, it must be recharged by picking up a Soul Heart ."
Cracked Orb,675,Unlocks doors and reveals a random room on the map when Isaac takes damage.
Empty Heart,676,"If Isaac has one red heart or fewer at the beginning of a floor, he gains an empty red heart container ."
Astral Projection,677,"Causes Isaac to turn into a ghost if he gets hit while in an uncleared room, giving him flight and spectral tears and blocking the next hit he takes."
C Section,678,Replaces tears with fetuses that chase down enemies and deal contact damage. Each shot requires a brief charge up.
Lil Abaddon,679,Spawns a familiar that charges a miniature Maw Of The Void attack while Isaac shoots.
Montezuma's Revenge,680,"While firing, Isaac charges up a short-ranged Brimstone -like diarrhea beam that shoots behind him."
Lil Portal,681,"A familiar that flies forward, consuming pickups in its path. Each one will increase its size and damage and spawn a Blue Fly . Every four pickups, it opens a portal that leads to an unexplored room."
Worm Friend,682,Gives Isaac a Nerve Ending familiar that burrows out of the ground to grab and deal damage to enemies over time.
Bone Spurs,683,"Enemies spawn floating bones on death, which block shots and damage/repel enemies that touch them."
Hungry Soul,684,"Enemies have a chance to spawn ghosts on death, which chase and deal contact damage to enemies and explode after a short time."
Soul Locket,686,Gives Isaac a permanent stat boost whenever he picks up a Soul Heart .
Inner Child,688,"Upon death , Isaac respawns in the current room with half of a Red Heart , a massive size down, and +0.2 Speed ."
Glitched Crown,689,Item pedestals cycle between 5 random items before being picked up.
Belly Jelly,690,"Causes enemies to bounce off of Isaac, dealing damage to them if they hit an enemy or obstacle. Also gives Isaac the chance to deflect enemy shots."
